"u`","v`","Lv","x","y","X","Y","Z","測量日期和時間","數據名","Peak/Valley測量","累計時間","校準CH","基準值","序列號","Tcp","duv","λd","Pe",
"0.2044","0.4981","29.6","0.3500","0.3790","27.4","29.6","21.2","2025/05/15 17:05:33","樣本0180","OFF","1.0","0","0","40001375","4921","+0.011","566.9","18.8",
"0.3996","0.5292","206.5","0.6065","0.3570","350.8","206.5","21.2","2025/05/15 17:05:56","樣本0181","OFF","1.0","0","0","40001375","-----","-----","602.9","89.1",
"0.4213","0.5327","543.8","0.6314","0.3548","967.7","543.8","21.1","2025/05/15 17:06:20","樣本0182","OFF","1.0","0","0","40001375","-----","-----","603.9","96.0",
"0.4285","0.5338","1198","0.6396","0.3541","2164","1198","21.1","2025/05/15 17:06:45","樣本0183","OFF","1.0","0","0","40001375","-----","-----","604.2","98.2",
"0.4308","0.5342","1867","0.6421","0.3539","3388","1867","21.2","2025/05/15 17:07:09","樣本0184","OFF","1.0","0","0","40001375","-----","-----","604.3","98.9",
"0.4318","0.5343","2531","0.6433","0.3538","4602","2531","21.2","2025/05/15 17:07:29","樣本0185","OFF","1.0","0","0","40001375","-----","-----","604.4","99.2",
"0.4324","0.5344","3183","0.6439","0.3537","5795","3183","21.4","2025/05/15 17:07:54","樣本0186","OFF","1.0","0","0","40001375","-----","-----","604.4","99.4",
"0.4329","0.5345","3836","0.6444","0.3536","6990","3836","21.4","2025/05/15 17:08:25","樣本0187","OFF","1.0","0","0","40001375","-----","-----","604.4","99.5",
"0.4332","0.5345","4488","0.6447","0.3536","8183","4488","21.4","2025/05/15 17:08:44","樣本0188","OFF","1.0","0","0","40001375","-----","-----","604.4","99.6",
"0.4335","0.5345","5129","0.6450","0.3535","9358","5129","21.5","2025/05/15 17:09:02","樣本0189","OFF","1.0","0","0","40001375","-----","-----","604.4","99.7",
"0.4336","0.5346","5754","0.6452","0.3535","10500","5754","21.5","2025/05/15 17:09:27","樣本0190","OFF","1.0","0","0","40001375","-----","-----","604.5","99.7",
"0.4339","0.5346","6388","0.6454","0.3534","11670","6388","21.6","2025/05/15 17:09:47","樣本0191","OFF","1.0","0","0","40001375","-----","-----","604.5","99.8",
"0.4341","0.5346","7011","0.6456","0.3534","12810","7011","21.6","2025/05/15 17:10:06","樣本0192","OFF","1.0","0","0","40001375","-----","-----","604.5","99.8",
"0.4342","0.5346","7627","0.6457","0.3533","13940","7627","21.6","2025/05/15 17:10:25","樣本0193","OFF","1.0","0","0","40001375","-----","-----","604.5","99.8",
"0.4344","0.5346","8253","0.6458","0.3532","15090","8253","21.7","2025/05/15 17:10:44","樣本0194","OFF","1.0","0","0","40001375","-----","-----","604.5","99.8",
"0.4345","0.5346","8855","0.6459","0.3532","16190","8855","21.8","2025/05/15 17:11:04","樣本0195","OFF","1.0","0","0","40001375","-----","-----","604.5","99.9",
"0.4346","0.5346","9443","0.6460","0.3532","17270","9443","21.8","2025/05/15 17:11:28","樣本0196","OFF","1.0","0","0","40001375","-----","-----","604.5","99.9",
"0.4348","0.5346","10040","0.6462","0.3531","18380","10040","21.7","2025/05/15 17:11:51","樣本0197","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4348","0.5346","10640","0.6462","0.3531","19470","10640","21.8","2025/05/15 17:12:09","樣本0198","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4348","0.5346","11210","0.6462","0.3531","20520","11210","22.0","2025/05/15 17:12:28","樣本0199","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4349","0.5346","11780","0.6463","0.3530","21570","11780","22.0","2025/05/15 17:12:47","樣本0200","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4350","0.5346","12360","0.6464","0.3530","22630","12360","22.1","2025/05/15 17:13:09","樣本0201","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4351","0.5346","12920","0.6464","0.3530","23670","12920","22.1","2025/05/15 17:13:31","樣本0202","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4355","0.5345","13470","0.6467","0.3528","24680","13470","22.1","2025/05/15 17:13:53","樣本0203","OFF","1.0","0","0","40001375","-----","-----","604.7","99.9",
"0.4351","0.5346","14030","0.6465","0.3530","25690","14030","22.2","2025/05/15 17:14:14","樣本0204","OFF","1.0","0","0","40001375","-----","-----","604.6","99.9",
"0.4352","0.5346","14580","0.6465","0.3530","26700","14580","22.1","2025/05/15 17:14:34","樣本0205","OFF","1.0","0","0","40001375","-----","-----","604.6","100.0",
"0.4352","0.5346","14830","0.6466","0.3529","27160","14830","22.3","2025/05/15 17:14:56","樣本0206","OFF","1.0","0","0","40001375","-----","-----","604.6","100.0",
